Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Korian Deutschland GmbH,Long-term Care & Social Services,2026-06-10,Full-time,,"Performs classic nursing duties in a residential care setting including medication administration, care activities, and digital documentation, while supervising auxiliary staff, trainees, and interns.",Completed state-registered nursing qualification (Pflegefachkraft) or equivalent qualification in elderly or general healthcare nursing; high level of empathy and respectful conduct.,"Full coverage of continuing education costs with paid leave, gross salary up to €4,594 per month (based on pay grade) plus qualification allowance for a 39-hour week, loyalty bonuses.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-w-m-d-Berlin-Korian-Deutschland-GmbH--10967475-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"reichert? Dann haben wir ein Stellenangebot für Dich: Komm zu uns und werde als examinierte Pflegefachkraft (w/m/d) Teil eines Teams, das Pflege liebt und lebt | Das bringst Du als examinierte Pflegekraft (w/m/d) mit Unsere Bewohner:innen liegen uns am Herzen | Anforderungen Abgeschlossene Ausbildung zur examinierten Pflegefachkraft (w/m/d) Alternativ eine andere abgeschlossene Berufsausbildun",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/korian-deutschland-gmbh-168064/jobs,job-404,403
Co-Manager Language School,Other/Non-Healthcare (9999),9999,999,99,Not applicable,Berlin,Kultur Mosaik Berlin gUG (haftungsbeschränkt),Staffing Agencies & Other,2026-06-10,Full-time,,"Co-manages a multilingual language school (MULTI LINGUA) in Berlin, overseeing staff leadership, customer acquisition, course organisation, quality assurance, and strategic business development.","Commitment and creativity, personal stability and resilience, clear communication culture, values-based and conflict-capable leadership style.","Modern facilities with playgrounds and organic full-board catering, multilingual groups with holistic educational concept, international multiprofessional team, high-quality equipment.",On-site,https://www.stepstone.de/stellenangebote--Co-Leitung-m-w-d-bei-MULTI-LINGUA-in-Charlottenburg-Mierendorffkiez-Berlin-Kultur-Mosaik-Berlin-gUG-haftungsbeschraenkt--14132718-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,en und Kinder bewusst bist und dein eigenes Handeln stets reflektieren kannst - Abgeschlossene Ausbildung: staatlich anerkannte Erzieher*in mit Weiterbildung im Leitungsmanagement (wüns | chenswert) ODER abgeschlossenes Studium z,,Mental Health & Rehabilitation,,job-405,404
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Birgit Samarrai Zahnärztin,Outpatient & Ambulatory Care,2026-06-10,Part-time,,"Assists during dental treatments, prepares and cleans treatment rooms and instruments, manages patient communication and appointment scheduling, and performs dental X-rays.","Expert knowledge in dental treatment assistance, patient care, patient reception and administration.",Not specified.,On-site,https://www.stepstone.de/stellenangebote--ZFA-m-w-d-mit-Erfahrung-fuer-30-35-Stunden-gesucht-Berlin-Birgit-Samarrai-Zahnaerztin--14132801-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Mental Health & Rehabilitation,,job-406,405
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,avanti GmbH,Staffing Agencies & Other,2026-06-09,Part-time,,"Qualified nurse deployed on nationwide assignments via a staffing agency, performing basic care, wound care, vital sign monitoring, and decubitus prophylaxis across various healthcare settings.","Completed qualification as Pflegefachkraft, Krankenschwester, Gesundheits- und Krankenpfleger, Pflegefachmann, Altenpfleger, or equivalent recognised qualification; experience in basic care, wound management, vital signs, and decubitus prophylaxis; empathy and communication skills; willingness to undertake further training; driving licence desirable.","Permanent open-ended employment contract, genuine job security.",On-site,https://www.stepstone.de/stellenangebote--Krankenschwester-m-w-d-bundesweite-Einsaetze-Berlin-avanti-GmbH--14131592-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Damit passt du fachlich und menschlich perfekt in unser Team Abgeschlossene Ausbildung / Examen als Pflegefachkraft, Krankenschwester, Gesundheits- und Krankenpfleger | , Pflegefachmann, Altenpfleger oder eine gleichwertige anerkannte Qualifikation Erfahrung in Grundpflege, Wundversorgung, Vitalzeichenkontrolle und Dekubituspr | Bei avanti ist jeder willkommen – wir entscheiden fair und ausschließlich nach Qualifikation, unabhängig von Alter, Geschlecht (m/w/d), Herkunft, Religion, Behinderung oder",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/avanti-gmbh-60437/jobs,job-407,406
Medical Assistant / Nurse,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Praxis Jessen² + Kollegen,Outpatient & Ambulatory Care,2026-06-09,Full-time,,"Handles patient reception, consultation coordination, appointment management, and prescription issuance in a medical practice, and performs clinical tasks including ECGs, long-term blood pressure monitoring, spirometry, and blood collection.","Completed training as Medizinische Fachangestellte, Krankenpfleger, Altenpflege-Helfer, or comparable qualification; people skills, organisational talent, resilience, empathy, and communication ability; ability to work independently and reliably.","Permanent contract with regular Monday–Friday hours (no shift system), an additional half month's salary (13th month partial), company pension contribution, 30 days annual leave plus Christmas Eve and New Year's Eve off, full Deutschland-Ticket reimbursement.",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-MFA-Krankenpfleger-m-w-d-Berlin-Praxis-Jessen²-Kollegen--13408525-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,ufbereitung von Probenmaterial für Laboruntersuchungen Das bringst Du mit: Eine abgeschlossene Ausbildung als Medizinische Fachangestellte / Krankenpfleger / Altenpflege-Helfer (m/w/d) | Blutabnahme und Aufbereitung von Probenmaterial für Laboruntersuchungen • Eine abgeschlossene Ausbildung als Medizinische Fachangestellte / Krankenpfleger / Altenpflege-Helfer (m/w/d),,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/praxis-jessen%c2%b2-%2b-kollegen-144820/jobs,job-408,407
Specialist Educator for Inclusion and Development Support,Other/Non-Healthcare (9999),9999,999,99,Not applicable,Berlin,hisa gemeinnützige Gesellschaft mit beschränkter Haftung (hisa gGmbH),Staffing Agencies & Other,2026-06-09,Part-time,,"Provides individualised care and targeted developmental support for children in an inclusive childcare setting, including observation, documentation, and collaborative work with parents, teams, and specialist services.","Qualification as Facherzieher/in für Integration bzw. Teilhabe und Förderung; sound expertise in inclusive pedagogy and early childhood development; empathy, patience, and sense of responsibility; teamwork and reflective capacity; very good German language skills.","Supportive and collegial team, space for personal ideas and active co-design in daily pedagogy, appreciative work atmosphere, digital work processes to ease daily workload.",On-site,https://www.stepstone.de/stellenangebote--Facherzieher-in-fuer-Teilhabe-und-Foerderung-m-w-d-Inklusion-mit-Herz-Fachlichkeit-und-Blick-fuer-jedes-einzelne-Kind-Berlin-Berlin-Berlin-hisa-gemeinnuetzige-Gesellschaft-mit-beschraenkter-Haftung-hisa-gGmbH--13747417-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"en Mitgestaltung inklusiver Projekte, Rituale und pädagogischer Angebote Profil Qualifikation als Facherzieher:in für Integration bzw | • Mitgestaltung inklusiver Projekte, Rituale und pädagogischer Angebote • Qualifikation als Facherzieher:in für Integration bzw",,Other Healthcare Providers,https://www.stepstone.de/cmp/de/hisa-gemeinn%c3%bctzige-gesellschaft-mit-beschr%c3%a4nkter-haftung-hisa-ggmbh-420983/jobs,job-409,408
Deputy Nursing Service Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,Ambulante Krankenpflege Vektor,Outpatient & Ambulatory Care,2026-06-09,Full-time,,"Organises and coordinates nursing operations in an outpatient care service (purely administrative, no direct patient care), including duty scheduling, quality assurance, documentation, patient and family advisory support during intake, and deputising for the nursing service manager.","Completed nursing qualification or equivalent; minimum 2 years' experience in outpatient care within the last 5 years; knowledge of nursing management and relevant legislation; organisational strength, responsibility, empathy, and communication skills.","Purely administrative role with no direct patient care, collegial team in a family-run company, structured onboarding and ongoing support, regular further training, fair remuneration from €4,100 per month depending on qualification.",On-site,https://www.stepstone.de/stellenangebote--Stellvertretende-Pflegedienstleitung-m-w-d-reine-Buerotaetigkeit-keine-Pflege-am-Patienten-Berlin-Ambulante-Krankenpflege-Vektor--14128442-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"nterner Qualitätsmaßnahmen Ihr Profil Wen wir suchenWas Sie mitbringen sollten- Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder vergleichbare Qualifikation - Mindestens 2 Jah | 100 € monatlich, je nach Qualifikation und Erfahrung - Unbefristeter Arbeitsvertrag mit langfristiger Perspektive - 29 | gaben und interner Qualitätsmaßnahmen Wen wir suchenWas Sie mitbringen sollten- Abgeschlossene Ausbildung als Pflegefachkraft (m/w/d) oder vergleichbare Qualifikation - Mindestens 2 Jah",2 years,Other Healthcare Providers,,job-410,409
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,CAPITAL HEALTH Hospital Group GmbH Zentrale Berlin,Outpatient & Ambulatory Care,2026-06-09,Part-time,,"Responsible for patient reception, appointment coordination, telephone support, IT-based medical documentation, and preparation of physician consultations, including laboratory work and blood draws.",Completed training as a medical assistant (Arzthelferin or Medizinische Fachangestellte); initial professional experience in a medical setting; team orientation and willingness for personal development.,"Above-tariff pay; modern bright workspace; above-average number of vacation days including bonus leave days; flexible working hours (full-time or part-time from 30h/week, 4-day week possible); regular working hours within opening times from 08:00.",On-site,https://www.stepstone.de/stellenangebote--Medizinische-Fachangestellte-Medizinische-Assistentin-37-Tage-Urlaub-Berlin-CAPITAL-HEALTH-Hospital-Group-GmbH-Zentrale-Berlin--14057796-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"einsteiger bestehen bei uns Möglichkeiten einer Ausbildung oder weiterführenden Qualifikation | chen Sprechstunden - Medizinische Assistenz - Labor, Blutabnahmen Ihr Profil: - Abgeschlossene Ausbildung als Arzthelferin oder medizinische Fachangestellte - Erste Berufserfahrungen im | n der ärztlichen Sprechstunden - Medizinische Assistenz - Labor, Blutabnahmen - Abgeschlossene Ausbildung als Arzthelferin oder medizinische Fachangestellte - Erste Berufserfahrungen im",,Other Healthcare Providers,,job-411,410
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,CorCura Plus GmbH,Rehabilitation & Mental Health,2026-06-09,Full-time,,"Provides basic and treatment nursing care, patient monitoring, and documentation, while collaborating with physicians and relatives in a care setting.",State-registered nursing qualification; empathy and sense of responsibility; enjoyment of teamwork.,"Up to €26 gross per hour; supplements for Sundays, public holidays, and night shifts; 30 days of annual leave; family-friendly shift scheduling; modern equipment and digital documentation; appreciative work environment.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Werde-Teil-von-CorCura-Plus-in-Berlin-Berlin-CorCura-Plus-GmbH--14057628-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Die CorCura Plus GmbH sucht engagierte examinierte Pflegefachkräfte (m/w/d) für unseren neuen ambulanten Pflegedienst in Berlin | - Dokumentation & Zusammenarbeit mit Ärzten und Angehörigen Das bringst du mit: Examinierte Pflegeausbildung Empathie & Verantwortungsbewusstsein Freude an Teamarbeit Das | innen und Patienten - Dokumentation & Zusammenarbeit mit Ärzten und Angehörigen Examinierte Pflegeausbildung Empathie & Verantwortungsbewusstsein Freude an Teamarbeit Wei,,Mental Health & Rehabilitation,,job-412,411
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Eyemed Berlin Augenärzte Dr. Bendschneider und Dr. Sigal Partnerschaftsgesellschaft,Outpatient & Ambulatory Care,2026-06-09,Full-time,,"Provides patient care and appointment management at an ophthalmology practice, assisting with treatments and examinations and handling administrative and billing tasks.",Completed training as a medical assistant (Medizinische Fachangestellte or Arzthelferin); prior experience in an ophthalmology practice preferred; strong communication and interpersonal skills.,"Salary of €2,900–€3,900 depending on qualification and experience; 30 days annual leave; paid overtime; permanent employment contract; subsidised monthly public transport ticket; flexible working hours; pleasant working atmosphere.",On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-m-w-d-fuer-die-Augenarztpraxis-Berlin-Eyemed-Berlin-Augenaerzte-Dr-Bendschneider-und-Dr-Sigal-Partnerschaftsgesellschaft--14128540-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,dlungen und Untersuchungen ▸ Verwaltungs- und Abrechnungstätigkeiten Ihr Profil Qualifikationen / Anforderungen▸ Du hast abgeschlossene Ausbildung zum / zur Medizinischen Fa | Leistungen der Anstellung ▸ Ein attraktives Gehalt von 2900 € - 3900 € je nach Qualifikation und Berufserfahrung ▸ 30 Urlaubstage für Deine wohlverdiente Erholung ▸ bezahlt | z bei Behandlungen und Untersuchungen ▸ Verwaltungs- und Abrechnungstätigkeiten Qualifikationen / Anforderungen▸ Du hast abgeschlossene Ausbildung zum / zur Medizinischen Fa,,Medical & Dental Practices,,job-413,412
